iter	RMSE
312	0.9759703915
313	0.9758792115
314	0.9757716539
315	0.9757077998
316	0.9756808685
317	0.9756089226
318	0.9755120593
319	0.9754968165
320	0.9754659791
321	0.9754075149
322	0.9753860738
323	0.9751868348
324	0.9750366994
325	0.9749517752
326	0.9748594736
327	0.9747263614
328	0.9746689947
329	0.97464309
330	0.9745720216
331	0.974476023
332	0.9744462391
333	0.974362532
334	0.9743313613
335	0.9740907518
336	0.9740193442
337	0.9739227944
338	0.973898975
339	0.9738265248
340	0.9736688046
341	0.9736540526
342	0.9736331387
343	0.9736252821
344	0.9736192791
345	0.9735446657
346	0.9735005772
347	0.973489057
348	0.9732995968
349	0.9732826378
350	0.9732763594
351	0.9732138998
352	0.9731555862
353	0.9730965191
354	0.9730742348
355	0.9729921131
356	0.9728754632
357	0.9728641872
358	0.9727463529
359	0.9727232835
360	0.9725019254
361	0.972453685
362	0.972446887
363	0.9723777417
364	0.9723694351
365	0.9722728262
366	0.9721266725
367	0.9720217511
368	0.9720012856
369	0.9719933676
370	0.9719467478
371	0.9718840151
372	0.9718438581
373	0.9716824424
374	0.9716660402
375	0.971662748
376	0.9716107729
377	0.9715148295
378	0.9714448778
379	0.9713810733
380	0.9713425916
381	0.9711645499
382	0.9710164795
383	0.9710144287
384	0.9709101157
385	0.9707944383
386	0.9707873933
387	0.9707631958
388	0.9707550098
389	0.9706765795
390	0.9706047603
391	0.9705994086
392	0.9705802528
393	0.9705787008
394	0.9705165357
395	0.9704096902
396	0.9703040702
397	0.9702102047
398	0.9701320071
399	0.9700990555
400	0.9700561525
401	0.9699845138
402	0.9699277361
403	0.9698577135
404	0.9698403681
405	0.9697964022
406	0.969789573
407	0.9697391594
408	0.9697105366
409	0.9696722951
410	0.9696645402
411	0.9696237756
412	0.9695927502
413	0.969573175
414	0.9695155444
415	0.9694884256
416	0.9694830623
417	0.9694662679
418	0.9693587135
419	0.9693018254
420	0.969285584
421	0.9692654085
422	0.9692459575
423	0.9691719272
424	0.9691016228
425	0.9690994188
426	0.969072074
427	0.9690475327
428	0.9690471663
429	0.9689948632
430	0.9689935455
431	0.968977605
432	0.9689722213
433	0.9689515126
434	0.9689221325
435	0.9688807606
436	0.9688362932
437	0.968818899
438	0.9688001207
439	0.9687893856
440	0.9687881934
441	0.9687672442
442	0.9687238173
443	0.9686832567
444	0.9686820545
445	0.9686647353
446	0.9686161863
447	0.9685663744
448	0.9685596977
449	0.968477443
450	0.9684391778
451	0.9684083239
452	0.9683951831
453	0.9683844462
454	0.9683550855
455	0.9682975521
456	0.9682562859
457	0.9682505276
458	0.9682406066
459	0.9682093635
460	0.9681143983
461	0.9680877698
462	0.9680262107
463	0.9680197972
464	0.9679896237
465	0.9679867153
466	0.967928392
467	0.9678771534
468	0.9678265004
469	0.9677915971
470	0.9676492107
471	0.967598618
472	0.9675481187
473	0.9675446887
474	0.9675353804
475	0.9674980632
476	0.9674488672
477	0.9674433916
478	0.9673571899
479	0.9673082069
480	0.9672599495
481	0.9672591305
482	0.9672126547
483	0.9671681439
484	0.9671663474
485	0.9671390531
486	0.9671270831
487	0.9671169858
488	0.9670829809
489	0.9670755613
490	0.9669463018
491	0.9669225354
492	0.966898135
493	0.9668921763
494	0.966886054
495	0.9668766184
496	0.9668276727
497	0.9667837355
498	0.9667822396
499	0.9667366065
500	0.9666515323
501	0.966645042
502	0.9665777629
503	0.9665760213
504	0.9665182458
505	0.966490002
506	0.9664791714
507	0.9664631453
508	0.9664391949
509	0.9663594931
510	0.9663275723
511	0.9662853894
512	0.9662825067
513	0.9662801761
514	0.9662275253
515	0.966224963
516	0.9662006861
517	0.9661793508
518	0.9661064043
519	0.9661008423
520	0.96602716
521	0.9660132719
522	0.9660023279
523	0.9659946157
524	0.9659254268
525	0.9658757916
526	0.9658724585
527	0.9658576802
528	0.9658267206
529	0.9658103137
530	0.9658067234
531	0.9657823709
532	0.9657723609
533	0.965767612
534	0.9657096087
535	0.9656982842
536	0.9656947361
537	0.9656615259
538	0.9656566437
539	0.9656556118
540	0.9656263499
541	0.9656183437
542	0.9655979039
543	0.9655890659
544	0.9655668859
545	0.9655283897
546	0.9655116685
547	0.9655049671
548	0.9654389265
549	0.9653768517
550	0.9653579873
551	0.9652423543
552	0.9652348863
553	0.9651514075
554	0.9651249493
555	0.965063243
556	0.9650255677
557	0.9649937132
558	0.964971528
559	0.964968744
560	0.9649675477
561	0.964950135
562	0.9649486228
563	0.9649334783
564	0.9649324676
565	0.9648824034
566	0.9648801469
567	0.9648698868
568	0.9647848584
569	0.9647678309
570	0.9647646017
571	0.9647552662
572	0.9647282482
573	0.9646886388
574	0.9646638678
575	0.9646108676
576	0.964580531
577	0.9644974356
578	0.9644497847
579	0.9644442855
580	0.9644421082
581	0.9644336968
582	0.9644165993
583	0.9643542444
584	0.9643397839
585	0.9643176403
586	0.9642691898
587	0.964264181
588	0.9642436227
589	0.9642353357
590	0.9642131426
591	0.9642028945
592	0.9641899482
593	0.9641845363
594	0.964184255
595	0.9641391949
596	0.9641359137
597	0.9641117197
598	0.9640773406
599	0.9640692903
600	0.9640599276
601	0.964058225
602	0.9640552814
603	0.9640419757
604	0.9640286158
605	0.9640113092
606	0.9639936728
607	0.9639662254
608	0.9639627943
609	0.9639434581
610	0.9639355502
611	0.9638727606
612	0.9638417002
613	0.9638152001
614	0.9638016885
615	0.9637508986
616	0.9637267011
617	0.9637059524
618	0.9637020852
619	0.9636882611
620	0.9636767074
621	0.9636302161
622	0.9636231667
623	0.9636177717
624	0.9635929878
625	0.9635917861
626	0.9635404917
627	0.9634673792
628	0.9634658745
629	0.9634311439
630	0.9634296871
631	0.9634211701
632	0.9634160271
633	0.9633812887
634	0.9633644473
635	0.9633583067
636	0.9633558829
637	0.9633084143
638	0.9633080182
639	0.963307106
640	0.9633050358
641	0.9632932496
642	0.9632757511
643	0.9632715026
644	0.9632434105
645	0.9632260121
646	0.9632239544
647	0.9632179406
648	0.9631931584
649	0.9631885246
650	0.9631844577
651	0.9631655948
652	0.9631592599
653	0.9631145644
654	0.9631041672
655	0.9630872371
656	0.963076444
657	0.9630651768
658	0.9630475163
659	0.9630391882
660	0.9630370782
661	0.9630348309
662	0.963034071
663	0.963029424
664	0.9630073775
665	0.9629439367
666	0.9629183459
667	0.9629039268
668	0.9628816339
669	0.9628801078
670	0.9628778354
671	0.9628475333
672	0.9627743466
673	0.9627729507
674	0.9627624377
675	0.9627615284
676	0.9627568254
677	0.96271855
678	0.9626968276
679	0.9626604
680	0.9626376889
681	0.9625890824
682	0.9625669613
683	0.962541303
684	0.9625210056
685	0.9625128207
686	0.9625119783
687	0.9625098494
688	0.9625076109
689	0.9624754684
690	0.9624675201
691	0.9624657453
692	0.9624607656
693	0.9624291538
694	0.9624276098
695	0.9624180364
696	0.9624174012
697	0.9624154419
698	0.9624139799
699	0.9624119253
700	0.9623938489
701	0.9623932981
702	0.9623826356
703	0.9623639514
704	0.9623560783
705	0.9623466536
706	0.9623460523
707	0.9623295945
708	0.9623228906
709	0.9622963957
710	0.9622793538
711	0.9622665302
712	0.9622431778
713	0.9622178444
714	0.962216736
715	0.9622088498
716	0.9622059896
717	0.9622012916
718	0.9621935003
719	0.9621931531
720	0.9621890171
721	0.9621771707
722	0.9621688877
723	0.9621674531
724	0.9621612204
725	0.9621553195
726	0.9621449963
727	0.9621382998
728	0.9621223776
729	0.9621056997
730	0.9620953965
731	0.962094348
732	0.9620928941
733	0.9620740143
734	0.962049562
735	0.9620460372
736	0.9620453697
737	0.9620444901
738	0.9620435843
739	0.9620363378
740	0.9620181684
741	0.9620137185
742	0.9619940086
743	0.9619489758
744	0.9619171263
745	0.9618883548
746	0.9618741589
747	0.9618694349
748	0.9618588091
749	0.961853545
750	0.9618452405
751	0.9618445227
752	0.9618403506
753	0.961826968
754	0.9618260996
755	0.9618093592
756	0.9617949725
757	0.9617833277
758	0.9617407859
759	0.9617391544
760	0.9617111946
761	0.961710763
762	0.9616961478
763	0.9616725777
764	0.9616596834
765	0.9616539756
766	0.9616350127
767	0.9616261964
768	0.9616019282
769	0.9615899656
770	0.9615894951
771	0.9615707198
772	0.9615622891
773	0.9615580679
774	0.9615301703
775	0.9615254154
776	0.9615055799
777	0.9614912809
778	0.9614864515
779	0.9614491003
780	0.9614469119
781	0.9614297797
782	0.9614243322
783	0.9614050363
784	0.9613676038
785	0.9613667877
786	0.9613636662
787	0.961359721
788	0.9613487809
789	0.9613362915
790	0.9613268915
791	0.9613257869
792	0.961319006
793	0.9613104987
794	0.9613097969
795	0.9613090824
796	0.9613070868
797	0.9613055936
798	0.96128511
799	0.9612804489
800	0.9612784317
801	0.9612688537
802	0.9612673048
803	0.9612214586
804	0.9612008499
805	0.961200749
806	0.9611962197
807	0.9611956688
808	0.9611945099
809	0.9611781968
810	0.9611704724
811	0.9611667084
812	0.9611476045
813	0.9611344451
814	0.9611332829
815	0.9611263295
816	0.9611231784
817	0.9611044887
818	0.9611004025
819	0.9610981296
820	0.9610890005
821	0.9610883779
822	0.9610472988
823	0.961014245
824	0.9609898326
825	0.9609889484
826	0.9609615824
827	0.9609513972
828	0.9609509081
829	0.9609168761
830	0.9609009026
831	0.9608901928
832	0.9608803809
833	0.9608762707
834	0.9608654174
835	0.9608625713
836	0.9608492255
837	0.9608476972
838	0.9608408587
839	0.9608397732
840	0.9608388778
841	0.9608137718
842	0.9607995292
843	0.9607993855
844	0.9607920002
845	0.960780109
846	0.9607777253
847	0.9607595019
848	0.9607591243
849	0.9607542575
850	0.9607393606
851	0.9607191918
852	0.9607129111
853	0.9607122663
854	0.9607101955
855	0.9607052335
856	0.9606957145
857	0.9606928645
858	0.9606877962
859	0.9606773422
860	0.9606682375
861	0.9606676174
862	0.9606636597
863	0.9606538749
864	0.9606397683
865	0.9606391902
866	0.9606376095
867	0.960626559
868	0.9606190804
869	0.9606172374
870	0.9606159079
871	0.9606147501
872	0.9606047406
873	0.9606011975
874	0.9605971935
875	0.9605961733
876	0.9605934972
877	0.9605676398
878	0.960564321
879	0.9605577401
880	0.960557048
881	0.9605297663
882	0.9605289759
883	0.9605232935
884	0.9605212344
885	0.9605201687
886	0.9605182725
887	0.960509648
888	0.9605037812
889	0.9605026523
890	0.9604963661
891	0.9604856373
892	0.9604659465
893	0.9604644682
894	0.9604642212
895	0.9604637189
896	0.9604464822
897	0.9604458629
898	0.9604455641
899	0.9604438365
900	0.9604382235
901	0.9604374036
902	0.960433307
903	0.9604155611
904	0.960414339
905	0.9604034495
906	0.9603994504
907	0.9603973034
908	0.9603872511
909	0.9603851731
910	0.9603848624
911	0.9603838986
912	0.9603776146
913	0.9603734901
914	0.9603687126
915	0.9603686185
916	0.960358652
917	0.960358467
918	0.9603512471
919	0.960349453
920	0.9603491662
921	0.9603488914
922	0.9603472377
923	0.9603425584
924	0.9603346015
925	0.9603337422
926	0.9603291248
927	0.9603191716
928	0.9603178397
929	0.9602944254
930	0.9602893231
931	0.9602729084
932	0.9602582891
933	0.9602575416
934	0.9602570893
935	0.9602426448
936	0.9602415844
937	0.9602393899
938	0.9602233211
939	0.9602224263
940	0.9602143272
941	0.9602117038
942	0.9602033419
943	0.9602018663
944	0.96020067
945	0.9602002774
946	0.9601976979
947	0.9601911955
948	0.9601860733
949	0.9601731075
950	0.9601730816
951	0.9601710501
952	0.960170065
953	0.9601683272
954	0.9601672652
955	0.9601647424
956	0.960148336
957	0.9601398579
958	0.9601395931
959	0.9601194024
960	0.9601112939
961	0.9600995256
962	0.9600961013
963	0.9600957667
964	0.9600938816
965	0.9600886162
966	0.9600814359
967	0.9600773484
968	0.9600654289
969	0.9600591518
970	0.9600552508
971	0.9600541208
972	0.9600470573
973	0.9600387808
974	0.9600230567
975	0.960007053
976	0.9600030729
977	0.9599972866
978	0.9599579276
979	0.95995429
980	0.959954275
981	0.9599521566
982	0.9599430763
983	0.9599416754
984	0.9599225383
985	0.959911245
986	0.9598974623
987	0.9598957607
988	0.959893866
989	0.959885588
990	0.9598818111
991	0.9598783946
992	0.9598774642
993	0.9598721872
994	0.9598696376
995	0.9598692316
996	0.9598542949
997	0.9598488559
998	0.9598455787
999	0.9598443126
